"year","PRIM_STATE","AREA","AREA_NAME","OCC_CODE","OCC_TITLE","GROUP","TOT_EMP","EMP_PRSE","JOBS_1000","LOC_QUOTIENT","A_MEAN","MEAN_PRSE","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90"
"2011","AZ","46060","Tucson, AZ","27-3011","Radio and Television Announcers",,140,13.3,0.398,1.19,44460,6.4,18420,23780,35670,53890,73850
"2011","AZ","46060","Tucson, AZ","27-3022","Reporters and Correspondents",,100,41,0.281,1.19,40580,7.6,21910,26580,32810,44080,69390
"2011","AZ","46060","Tucson, AZ","27-3031","Public Relations Specialists",,410,11.9,1.179,1.19,46660,2.7,29150,36540,43690,54580,68920
"2011","AZ","46060","Tucson, AZ","27-3041","Editors",,170,20.8,0.499,1.19,51170,2.4,33140,38080,47080,63880,73110
"2011","AZ","46060","Tucson, AZ","27-3042","Technical Writers",,180,17.1,0.523,1.19,62430,5.7,34380,41700,60180,79680,95010
"2011","AZ","46060","Tucson, AZ","27-3043","Writers and Authors",,70,30.8,0.198,1.19,47780,4.8,22970,42370,51160,56970,60120
"2011","AZ","46060","Tucson, AZ","27-3091","Interpreters and Translators",,430,4.5,1.245,1.19,33370,11.9,19230,21440,26650,39650,63960
"2011","AZ","46060","Tucson, AZ","27-4011","Audio and Video Equipment Technicians",,150,10.7,0.421,1.19,33530,6.7,18340,23240,29540,37980,54080
"2011","AZ","46060","Tucson, AZ","27-4012","Broadcast Technicians",,70,24.6,0.208,1.19,36830,8.8,16780,18740,34310,50630,66620
"2011","AZ","46060","Tucson, AZ","27-4014","Sound Engineering Technicians",,90,15.3,0.261,1.19,33300,6.8,18210,22360,31940,39340,50290
"2011","AZ","46060","Tucson, AZ","27-4021","Photographers",,120,22,0.346,1.19,31750,13.3,16880,19010,22830,29640,52630
"2011","AZ","46060","Tucson, AZ","27-4032","Film and Video Editors",,40,14.7,0.116,1.19,40450,4.6,25800,29880,39650,47180,60160
"2011","AZ","46060","Tucson, AZ","27-4099","Media and Communication Equipment Workers, All Other",,40,8.2,0.128,1.19,56410,9.1,30540,34700,57410,77990,82570
"2011","CA","12540","Bakersfield, CA","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",1820,9.5,7.047,1.19,50910,5.7,19680,26030,41190,65080,91130
"2011","CA","12540","Bakersfield, CA","27-1023","Floral Designers",,40,35.2,0.17,1.19,32030,17,20920,22800,26360,38450,55360
"2011","CA","12540","Bakersfield, CA","27-1024","Graphic Designers",,130,14.7,0.508,1.19,50490,8.1,22770,32330,43580,67370,89450
"2011","CA","12540","Bakersfield, CA","27-1026","Merchandise Displayers and Window Trimmers",,70,21.9,0.277,1.19,28940,15.5,17780,19080,23980,32320,38030
"2011","CA","12540","Bakersfield, CA","27-2012","Producers and Directors",,80,16.6,0.312,1.19,82650,15.7,34950,44610,59990,94010,147380
"2011","CA","12540","Bakersfield, CA","27-2032","Choreographers",,30,46,0.118,1.19,28200,6,24230,25640,27760,29880,34690
"2011","CA","12540","Bakersfield, CA","27-2041","Music Directors and Composers",,40,24.1,0.143,1.19,59690,7.9,18690,53790,63120,71010,75760
"2011","CA","12540","Bakersfield, CA","27-3031","Public Relations Specialists",,190,13.2,0.739,1.18,50190,6.6,20210,31850,43450,67170,89440
"2011","CA","12540","Bakersfield, CA","27-3041","Editors",,40,34.4,0.17,1.18,47870,7.2,33510,40620,44940,51020,71250
"2011","CA","12540","Bakersfield, CA","27-3042","Technical Writers",,40,24.6,0.16,1.18,64520,5.2,37670,55460,65440,80190,85710
"2011","CA","12540","Bakersfield, CA","27-4012","Broadcast Technicians",,30,22.7,0.119,1.18,40250,18.5,18310,22990,29340,57560,80210
"2011","CA","12540","Bakersfield, CA","27-4099","Media and Communication Equipment Workers, All Other",,40,12.5,0.149,1.18,76820,11.2,29860,62070,82160,89260,106350
