School_District_Name,year,Course_Code,Course_Name,Number_of_Schools,Total_Course_Enrollment,Number_of_Classes,Number_FTE_Teachers,Average_Class_Size_filtered,Average_Class_Size,Subject_Area
Manhattan Beach USD,1999,2748,Any humanities course,1,1080,37,6.2,29.2,29.2,Humanities
Manhattan Beach USD,2000,2748,Any humanities course,1,851,28,7,30.4,30.4,Humanities
Manhattan Beach USD,2001,2748,Any humanities course,1,544,19,8.5,28.6,28.6,Humanities
Manhattan Beach USD,2002,2748,Any humanities course,1,408,14,7,29.1,29.1,Humanities
Manhattan Beach USD,2005,2748,Any humanities course,1,276,10,2.83,27.6,27.6,Humanities
Manhattan Beach USD,2006,2748,Any humanities course,1,190,6,1.67,31.7,31.7,Humanities
Manhattan Beach USD,2007,2748,Any humanities course,1,385,11,5.42,35,35,Humanities
Manhattan Beach USD,2008,2748,Any humanities course,1,471,15,7.25,31.4,31.4,Humanities
Manhattan Beach USD,2010,2748,Any humanities course,1,954,18,7.48,30.7,53,Humanities
Pasadena Unified,1997,2748,Any humanities course,1,70,2,0.5,35,35,Humanities
Pasadena Unified,1998,2748,Any humanities course,2,75,2,0.4,37.5,37.5,Humanities
Pasadena Unified,2000,2748,Any humanities course,1,213,6,1,35.5,35.5,Humanities
Pasadena Unified,2001,2748,Any humanities course,1,239,3,1.4,29,79.7,Humanities
Pasadena Unified,2002,2748,Any humanities course,2,94,3,0.6,31.3,31.3,Humanities
Pasadena Unified,2003,2748,Any humanities course,1,182,6,1.2,30.3,30.3,Humanities
Santa Monica-Malibu USD,1997,2748,Any humanities course,4,2613,93,18.97,28.4,28.1,Humanities
Santa Monica-Malibu USD,1998,2748,Any humanities course,4,3114,105,20.62,29.7,29.7,Humanities
Santa Monica-Malibu USD,1999,2748,Any humanities course,4,2700,98,19.1,27.6,27.6,Humanities
Santa Monica-Malibu USD,2000,2748,Any humanities course,4,2745,96,18.23,28.6,28.6,Humanities
Santa Monica-Malibu USD,2001,2748,Any humanities course,5,3109,106,20.62,29.3,29.3,Humanities
Santa Monica-Malibu USD,2002,2748,Any humanities course,4,2771,92,17.48,29.7,30.1,Humanities
Santa Monica-Malibu USD,2003,2748,Any humanities course,5,2903,96,19.56,30.2,30.2,Humanities
Santa Monica-Malibu USD,2004,2748,Any humanities course,4,2093,69,20.88,29.8,30.3,Humanities
Santa Monica-Malibu USD,2005,2748,Any humanities course,4,2315,81,22.54,28.6,28.6,Humanities
