AREA,ST,STATE,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
19,IA,Iowa,27-2031,Dancers,,**,**,**,**,16.90,*,7.0,8.88,12.32,15.07,21.81,26.04,*,*,*,*,*,,TRUE
21,KY,Kentucky,27-2031,Dancers,,**,**,**,**,12.10,*,5.7,7.91,8.80,10.61,14.86,18.39,*,*,*,*,*,,TRUE
24,MD,Maryland,27-2031,Dancers,,**,**,**,**,13.23,*,13.7,8.48,10.12,13.68,16.36,17.92,*,*,*,*,*,,TRUE
25,MA,Massachusetts,27-2031,Dancers,,**,**,**,**,16.91,*,2.4,8.57,9.09,15.83,21.73,30.66,*,*,*,*,*,,TRUE
26,MI,Michigan,27-2031,Dancers,,70,15.7,0.018,0.21,11.38,*,4.4,8.30,9.30,10.70,12.42,14.24,*,*,*,*,*,,TRUE
29,MO,Missouri,27-2031,Dancers,,280,17.8,0.109,1.25,13.56,*,5.6,8.17,9.31,12.99,16.94,18.65,*,*,*,*,*,,TRUE
32,NV,Nevada,27-2031,Dancers,,840,13.9,0.750,8.57,29.39,*,14.9,9.07,14.29,23.65,32.81,42.34,*,*,*,*,*,,TRUE
34,NJ,New Jersey,27-2031,Dancers,,130,18.6,0.035,0.40,14.46,*,13.1,8.88,10.04,11.22,20.47,25.65,*,*,*,*,*,,TRUE
36,NY,New York,27-2031,Dancers,,"2,260",28.8,0.268,3.06,*,*,*,*,*,*,*,*,*,*,*,*,*,,TRUE
37,NC,North Carolina,27-2031,Dancers,,120,32.9,0.032,0.37,*,*,*,*,*,*,*,*,*,*,*,*,*,,TRUE
39,OH,Ohio,27-2031,Dancers,,260,40.0,0.052,0.59,14.82,*,3.3,8.65,10.50,14.14,17.91,22.74,*,*,*,*,*,,TRUE
40,OK,Oklahoma,27-2031,Dancers,,70,27.8,0.044,0.50,15.88,*,8.8,9.91,10.56,11.65,23.97,27.77,*,*,*,*,*,,TRUE
41,OR,Oregon,27-2031,Dancers,,100,35.7,0.061,0.69,22.18,*,11.9,14.01,16.66,23.49,27.03,29.19,*,*,*,*,*,,TRUE
42,PA,Pennsylvania,27-2031,Dancers,,260,30.8,0.047,0.54,14.83,*,4.0,9.27,10.51,14.27,17.53,22.56,*,*,*,*,*,,TRUE
45,SC,South Carolina,27-2031,Dancers,,100,18.0,0.056,0.63,16.86,*,10.0,8.07,9.01,16.55,21.62,29.71,*,*,*,*,*,,TRUE
47,TN,Tennessee,27-2031,Dancers,,190,30.5,0.073,0.83,14.38,*,3.8,10.70,12.01,13.37,14.93,20.71,*,*,*,*,*,,TRUE
48,TX,Texas,27-2031,Dancers,,340,17.2,0.033,0.38,20.02,*,6.3,8.98,11.39,18.71,26.04,33.57,*,*,*,*,*,,TRUE
49,UT,Utah,27-2031,Dancers,,250,10.9,0.212,2.42,16.82,*,2.9,8.02,8.92,14.00,23.34,30.55,*,*,*,*,*,,TRUE
51,VA,Virginia,27-2031,Dancers,,140,49.5,0.038,0.44,17.59,*,9.8,9.85,11.61,14.70,22.14,31.43,*,*,*,*,*,,TRUE
55,WI,Wisconsin,27-2031,Dancers,,70,16.4,0.025,0.28,17.60,*,10.7,10.45,12.39,13.88,24.62,32.44,*,*,*,*,*,,TRUE

